Info 0    [11:42:29.120] Starting TS Server
Info 67   [11:48:26.295] Elapsed:: 0.009855000302195549ms DirectoryWatcher:: Triggered with /Users/samuelbanya/hub/Development/code/phase-3/SmoothMoves-Frontend/node_modules/.cache/default-development/index.pack.old :: WatchInfo: /Users/samuelbanya/hub/Development/code/phase-3/SmoothMoves-Frontend/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 68   [11:48:26.295] DirectoryWatcher:: Triggered with /Users/samuelbanya/hub/Development/code/phase-3/SmoothMoves-Frontend/node_modules/.cache/default-development/2.pack_ :: WatchInfo: /Users/samuelbanya/hub/Development/code/phase-3/SmoothMoves-Frontend/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 69   [11:48:26.295] Elapsed:: 0.004863999783992767ms DirectoryWatcher:: Triggered with /Users/samuelbanya/hub/Development/code/phase-3/SmoothMoves-Frontend/node_modules/.cache/default-development/2.pack_ :: WatchInfo: /Users/samuelbanya/hub/Development/code/phase-3/SmoothMoves-Frontend/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 70   [11:48:26.295] DirectoryWatcher:: Triggered with /Users/samuelbanya/hub/Development/code/phase-3/SmoothMoves-Frontend/node_modules/.cache/default-development/2.pack :: WatchInfo: /Users/samuelbanya/hub/Development/code/phase-3/SmoothMoves-Frontend/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 71   [11:48:26.295] Elapsed:: 0.006703998893499374ms DirectoryWatcher:: Triggered with /Users/samuelbanya/hub/Development/code/phase-3/SmoothMoves-Frontend/node_modules/.cache/default-development/2.pack :: WatchInfo: /Users/samuelbanya/hub/Development/code/phase-3/SmoothMoves-Frontend/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 72   [11:48:26.295] DirectoryWatcher:: Triggered with /Users/samuelbanya/hub/Development/code/phase-3/SmoothMoves-Frontend/node_modules/.cache/default-development/2.pack :: WatchInfo: /Users/samuelbanya/hub/Development/code/phase-3/SmoothMoves-Frontend/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 73   [11:48:26.296] Elapsed:: 0.08993600122630596ms DirectoryWatcher:: Triggered with /Users/samuelbanya/hub/Development/code/phase-3/SmoothMoves-Frontend/node_modules/.cache/default-development/2.pack :: WatchInfo: /Users/samuelbanya/hub/Development/code/phase-3/SmoothMoves-Frontend/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 74   [11:48:26.296] DirectoryWatcher:: Triggered with /Users/samuelbanya/hub/Development/code/phase-3/SmoothMoves-Frontend/node_modules/.cache/default-development/3.pack_ :: WatchInfo: /Users/samuelbanya/hub/Development/code/phase-3/SmoothMoves-Frontend/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 75   [11:48:26.296] Elapsed:: 0.013653000816702843ms DirectoryWatcher:: Triggered with /Users/samuelbanya/hub/Development/code/phase-3/SmoothMoves-Frontend/node_modules/.cache/default-development/3.pack_ :: WatchInfo: /Users/samuelbanya/hub/Development/code/phase-3/SmoothMoves-Frontend/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 76   [11:48:26.296] DirectoryWatcher:: Triggered with /Users/samuelbanya/hub/Development/code/phase-3/SmoothMoves-Frontend/node_modules/.cache/default-development/3.pack :: WatchInfo: /Users/samuelbanya/hub/Development/code/phase-3/SmoothMoves-Frontend/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 77   [11:48:26.296] Elapsed:: 0.00946200080215931ms DirectoryWatcher:: Triggered with /Users/samuelbanya/hub/Development/code/phase-3/SmoothMoves-Frontend/node_modules/.cache/default-development/3.pack :: WatchInfo: /Users/samuelbanya/hub/Development/code/phase-3/SmoothMoves-Frontend/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 78   [11:48:26.296] DirectoryWatcher:: Triggered with /Users/samuelbanya/hub/Development/code/phase-3/SmoothMoves-Frontend/node_modules/.cache/default-development/3.pack :: WatchInfo: /Users/samuelbanya/hub/Development/code/phase-3/SmoothMoves-Frontend/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 79   [11:48:26.296] Elapsed:: 0.007449999451637268ms DirectoryWatcher:: Triggered with /Users/samuelbanya/hub/Development/code/phase-3/SmoothMoves-Frontend/node_modules/.cache/default-development/3.pack :: WatchInfo: /Users/samuelbanya/hub/Development/code/phase-3/SmoothMoves-Frontend/node_modules 1 undefined Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
